ProductID;Date;Zip;Units;Revenue;City;State;District;Country;Category;Manufacturer;IsCompete;Product;Segment
443;1/1/2015;14559;1;9588.6;Spencerport, NY, USA;NY;District #06;USA;Urban;VanArsdel;Y;Maximus UM-48;Moderation
443;1/1/2015;75021;1;9588.6;Denison, TX, USA;TX;District #22;USA;Urban;VanArsdel;Y;Maximus UM-48;Moderation
443;1/1/2015;76542;1;9588.6;Killeen, TX, USA;TX;District #23;USA;Urban;VanArsdel;Y;Maximus UM-48;Moderation
604;1/1/2015;77845;1;5540.85;College Station, TX, USA;TX;District #23;USA;Urban;VanArsdel;N;Maximus UC-69;Convenience
681;1/1/2015;12804;1;7783.65;Queensbury, NY, USA;NY;District #01;USA;Urban;VanArsdel;N;Maximus UC-46;Convenience
681;1/1/2015;14559;1;7783.65;Spencerport, NY, USA;NY;District #06;USA;Urban;VanArsdel;N;Maximus UC-46;Convenience
681;1/1/2015;77708;1;7783.65;Beaumont, TX, USA;TX;District #24;USA;Urban;VanArsdel;N;Maximus UC-46;Convenience
445;1/1/2015;12225;1;10092.6;Albany, NY, USA;NY;District #01;USA;Urban;VanArsdel;Y;Maximus UM-50;Moderation
445;1/1/2015;79707;1;10092.6;Midland, TX, USA;TX;District #22;USA;Urban;VanArsdel;Y;Maximus UM-50;Moderation
513;1/1/2015;76542;1;5417.37;Killeen, TX, USA;TX;District #23;USA;Urban;VanArsdel;N;Maximus UE-01;Extreme
645;1/1/2015;13166;1;8473.5;Weedsport, NY, USA;NY;District #01;USA;Urban;VanArsdel;N;Maximus UC-10;Convenience
645;1/1/2015;14482;1;8473.5;Le Roy, NY, USA;NY;District #06;USA;Urban;VanArsdel;N;Maximus UC-10;Convenience
681;1/1/2015;11746;2;15567.3;Huntington Station, NY, USA;NY;District #03;USA;Urban;VanArsdel;N;Maximus UC-46;Convenience
681;1/1/2015;75147;1;7783.65;Mabank, TX, USA;TX;District #24;USA;Urban;VanArsdel;N;Maximus UC-46;Convenience
604;1/1/2015;14216;1;5540.85;Buffalo, NY, USA;NY;District #06;USA;Urban;VanArsdel;N;Maximus UC-69;Convenience
604;1/1/2015;14513;1;5540.85;Newark, NY, USA;NY;District #06;USA;Urban;VanArsdel;N;Maximus UC-69;Convenience
604;1/1/2015;76365;1;5540.85;Henrietta, TX, USA;TX;District #22;USA;Urban;VanArsdel;N;Maximus UC-69;Convenience
645;1/1/2015;12846;1;8473.5;Lake Luzerne, NY, USA;NY;District #01;USA;Urban;VanArsdel;N;Maximus UC-10;Convenience
681;1/1/2015;12225;1;7556.85;Albany, NY, USA;NY;District #01;USA;Urban;VanArsdel;N;Maximus UC-46;Convenience
681;1/1/2015;75098;1;7783.65;Wylie, TX, USA;TX;District #22;USA;Urban;VanArsdel;N;Maximus UC-46;Convenience
443;1/1/2015;77706;1;9588.6;Beaumont, TX, USA;TX;District #24;USA;Urban;VanArsdel;Y;Maximus UM-48;Moderation
596;1/1/2015;77040;1;9027.9;Houston, TX, USA;TX;District #23;USA;Urban;VanArsdel;N;Maximus UC-61;Convenience
619;1/1/2015;79022;1;11336.85;Dalhart, TX, USA;TX;District #21;USA;Urban;VanArsdel;N;Maximus UC-84;Convenience
396;1/1/2015;13324;1;10388.7;Cold Brook, NY, USA;NY;District #01;USA;Urban;VanArsdel;Y;Maximus UM-01;Moderation
396;1/1/2015;14075;1;10388.7;Hamburg, NY, USA;NY;District #06;USA;Urban;VanArsdel;Y;Maximus UM-01;Moderation
596;1/1/2015;78628;1;9027.9;Georgetown, TX, USA;TX;District #23;USA;Urban;VanArsdel;N;Maximus UC-61;Convenience
396;1/1/2015;10562;1;10388.7;Ossining, NY, USA;NY;District #03;USA;Urban;VanArsdel;Y;Maximus UM-01;Moderation
